Kingdom	Phylum	Class	Order	Family	Genus
Mito OTU98	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopococcus
Mito OTU99	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Mito OTU100	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Mito OTU101	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Mito OTU102	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Mito OTU103	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Mito OTU104	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade
Mito OTU105	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group
Mito OTU106	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Mito OTU107	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelotrichaceae UCG-003
Mito OTU108	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	NA
Mito OTU109	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister
Mito OTU110	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella
Mito OTU111	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
Mito OTU112	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
Mito OTU113	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	NA
Mito OTU114	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-352
Mito OTU115	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium
Mito OTU116	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea
