"ASV_16S_812"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	55	15	20	21	7	0	12	8	17	0	0	6	11	7	0	0	10	0	0	0	0	3	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	3	3	0	0	0	2	0	0
"ASV_16S_877"	0	0	20	0	0	0	3	0	0	0	3	0	0	15	0	2	0	0	0	0	0	0	0	0	0	0	0	4	3	10	0	0	0	101	72	0	5	2	2	0	42	5	8	5	0	6	0	5	10	17	32	0	0	0	8	0	0	2	0	13	9	20	16	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	4
"ASV_16S_908"	0	0	0	0	0	4	0	0	0	0	0	4	0	11	7	14	0	25	13	0	0	0	30	21	23	0	0	4	8	3	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	5	0	0	0	0	18	2	12	0	3	8	0	0
"ASV_16S_917"	2	13	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	5	0	22	16	0	10	21	2	0	17	0	0	6	0	11	0	10	9	12	13	0	0	0	0	2	6	15	0	0	0	2	12	4	2	6	0	2	4	4	0	0	0	3	0	0	0	0	6	0	4
"ASV_16S_945"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	42	0	18	0	0	0	0	0	48	75	54	31	0	0	0	0
"ASV_16S_971"	0	0	0	0	0	0	0	11	0	9	0	4	0	2	0	9	40	21	8	0	6	0	40	38	0	0	0	0	0	3	0	0	0	5	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	22	17	21	0	0	0	4	0
"ASV_16S_1005"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	31	0	0	0	0	0	0	0	14	11	0	0	15	16	11	0	0	0	0	6	5	10	17	4	0	0	0	17	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	8	3
"ASV_16S_1042"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	15	0	9	0	0	0	11	0	28	14	0	0	0	0	13	0	0	0	0	0
"ASV_16S_1102"	0	0	54	12	0	0	0	0	0	0	7	10	7	0	0	0	0	0	3	0	0	17	0	0	0	0	7	14	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	2	0	0	4	0	3	0	0	0	0	0	0	0	18	0	17	0	48	2	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0
"ASV_16S_1109"	0	0	0	0	0	2	0	0	0	0	0	4	10	26	0	2	0	4	23	0	3	11	0	15	0	6	0	0	0	0	9	0	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	3	4	0	0	0	14	2	0	0	2	0	8	0	0	2	0	0
"ASV_16S_1127"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	11	40	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"ASV_16S_1156"	0	0	0	0	0	2	0	9	12	3	0	0	0	0	2	0	5	0	0	7	0	0	0	0	0	5	8	0	6	10	2	6	0	11	14	0	8	23	0	0	4	0	0	0	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	11	0	0	0	0	0	0	0	0	0	9	4	0	0	0	6	0	0
"ASV_16S_1187"	0	0	2	15	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	26	18	0	0	0	0	6	0	0	2	0	2	24	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	11	0	0	2	0	0	0	0	13	0	3	0	0	0	0	0	0	0	3	0	0	0	2	0
"ASV_16S_1192"	0	0	0	0	0	0	0	4	10	2	0	5	0	6	0	8	0	3	0	0	5	0	0	5	3	8	3	0	0	18	0	0	0	22	7	0	17	18	0	0	0	0	0	4	0	45	0	2	0	2	2	2	0	0	0	0	0	2	0	0	9	0	0	20	0	0	0	0	4	2	0	0	0	3	0	0	0	0	0	0	0
"ASV_16S_1253"	0	4	0	2	0	0	8	0	0	0	0	192	0	106	0	8	0	2	0	0	9	2	0	3	3	13	8	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	4	10	0	3	0	0	0	0	8	11	15	0	0	0	9	0	7	7	0	0	0
"ASV_16S_1308"	0	0	0	0	0	0	3	0	0	3	0	0	0	0	6	4	14	7	0	8	8	0	17	5	0	7	17	3	3	0	8	0	0	2	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	68	0	8	0	0	0	0	0	0	0	26	74	13	8	0	0	0	0
"ASV_16S_1344"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	9	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
"ASV_16S_1371"	0	0	6	0	0	0	3	0	0	0	0	11	0	15	0	0	0	0	19	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
"ASV_16S_1464"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_16S_1466"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	6	0	0	0	0	0	0	4	10	7	0	0	0	0
"ASV_16S_1470"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	21	0	0	0	0	0	20	0	0	7	0	0	0	0
"ASV_16S_1508"	6	0	4	0	0	0	12	0	0	0	4	0	22	0	0	0	0	0	6	0	0	0	0	0	0	0	10	10	0	0	0	0	0	3	0	0	0	0	7	5	31	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	8	0	4	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_16S_1548"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	2	0	0	0	8	15	7	0	3	0	0	0	0	0	0	0	5	0	9	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"ASV_16S_1578"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	40	14	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	3	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
